Chr,Band,NCI,UCSC
10,10p11.1,NCI,UCSC
10,10p11.2,NCI,
10,10p11.21,NCI,UCSC
10,10p11.22,,UCSC
10,10p11.23,NCI,UCSC
10,10p12,NCI,
10,10p12.1,NCI,UCSC
10,10p12.2,,UCSC
10,10p12.3-p11.2,NCI,
10,10p12.31,NCI,UCSC
10,10p12.32,,UCSC
10,10p12.33,,UCSC
10,10p13,NCI,UCSC
10,10p14,,UCSC
10,10p15-p14,NCI,
10,10p15.1,NCI,UCSC
10,10p15.2,,UCSC
10,10p15.3,,UCSC
10,10q11,NCI,
10,10q11-p12,NCI,
10,10q11-q12,NCI,
10,10q11.1,NCI,UCSC
10,10q11.2,NCI,
10,10q11.2-q21,NCI,
10,10q11.21,NCI,UCSC
10,10q11.22,,UCSC
10,10q11.23,,UCSC
10,10q21,NCI,
10,10q21-q22,NCI,
10,10q21.1,NCI,UCSC
10,10q21.2,,UCSC
10,10q21.3,,UCSC
10,10q22,NCI,
10,10q22-q23,NCI,
10,10q22.1,,UCSC
10,10q22.1-q23,NCI,
10,10q22.2,,UCSC
10,10q22.3,NCI,UCSC
10,10q23-q24,NCI,
10,10q23.1,,UCSC
10,10q23.2,NCI,UCSC
10,10q23.2-q23.3,NCI,
10,10q23.2-q23.33,NCI,
10,10q23.31,NCI,UCSC
10,10q23.32,,UCSC
10,10q23.33,NCI,UCSC
10,10q24,NCI,
10,10q24-q25,NCI,
10,10q24-q25.2,NCI,
10,10q24-q26,NCI,
10,10q24-qter,NCI,
10,10q24.1,NCI,UCSC
10,10q24.1-q24.3,NCI,
10,10q24.1-q25.1,NCI,
10,10q24.2,,UCSC
10,10q24.3,NCI,
10,10q24.3-10qter,NCI,
10,10q24.31,NCI,UCSC
10,10q24.32,NCI,UCSC
10,10q24.33,,UCSC
10,10q25,NCI,
10,10q25-qter,NCI,
10,10q25.1,NCI,UCSC
10,10q25.2,,UCSC
10,10q25.3,NCI,UCSC
10,10q25.3-q26.1,NCI,
10,10q26,NCI,
10,10q26.11,,UCSC
10,10q26.12,,UCSC
10,10q26.13,NCI,UCSC
10,10q26.13-q26.3,NCI,
10,10q26.2,NCI,UCSC
10,10q26.3,,UCSC
11,11p11.11,,UCSC
11,11p11.12,,UCSC
11,11p11.2,NCI,UCSC
11,11p11.2-p11.1,NCI,
11,11p12,NCI,UCSC
11,11p12-p11,NCI,
11,11p12-p11.2,NCI,
11,11p12-p11.22,NCI,
11,11p13,NCI,UCSC
11,11p13-p12,NCI,
11,11p14.1,,UCSC
11,11p14.2,,UCSC
11,11p14.3,NCI,UCSC
11,11p14.3-p15.2,NCI,
11,11p15,NCI,
11,11p15.1,NCI,UCSC
11,11p15.1-p14,NCI,
11,11p15.2,NCI,UCSC
11,11p15.2-p14.3,NCI,
11,11p15.2-p15.1,NCI,
11,11p15.3,NCI,UCSC
11,11p15.3-p15.1,NCI,
11,11p15.4,NCI,UCSC
11,11p15.5,NCI,UCSC
11,11p15.5-p15.4,NCI,
11,11pter-p13,NCI,
11,11q11,,UCSC
11,11q12,NCI,
11,11q12-q13,NCI,
11,11q12.1,NCI,UCSC
11,11q12.2,NCI,UCSC
11,11q12.3,NCI,UCSC
11,11q13,NCI,
11,11q13-q14,NCI,
11,11q13.1,NCI,UCSC
11,11q13.1-q13.2,NCI,
11,11q13.2,NCI,UCSC
11,11q13.3,NCI,UCSC
11,11q13.3-q13.5,NCI,
11,11q13.3-q14.1,NCI,
11,11q13.4,NCI,UCSC
11,11q13.5,NCI,UCSC
11,11q14,NCI,
11,11q14-q21,NCI,
11,11q14.1,NCI,UCSC
11,11q14.2,NCI,UCSC
11,11q14.2-q14.3,NCI,
11,11q14.2-q22.3,NCI,
11,11q14.3,,UCSC
11,11q21,,UCSC
11,11q21-q22,NCI,
11,11q22,NCI,
11,11q22-q23,NCI,
11,11q22.1,,UCSC
11,11q22.2,,UCSC
11,11q22.2-q22.3,NCI,
11,11q22.3,NCI,UCSC
11,11q23,NCI,
11,11q23-q24,NCI,
11,11q23.1,NCI,UCSC
11,11q23.1-q23.2,NCI,
11,11q23.1-q23.3,NCI,
11,11q23.2,,UCSC
11,11q23.2-q23.3,NCI,
11,11q23.3,NCI,UCSC
11,11q24,NCI,
11,11q24-q24,NCI,
11,11q24-q25,NCI,
11,11q24.1,NCI,UCSC
11,11q24.1-q24.3,NCI,
11,11q24.2,,UCSC
11,11q24.3,,UCSC
11,11q25,,UCSC
12,12p11.1,NCI,UCSC
12,12p11.2,NCI,
12,12p11.21,,UCSC
12,12p11.22,,UCSC
12,12p11.23,,UCSC
12,12p12,NCI,
12,12p12.1,NCI,UCSC
12,12p12.1-p11.2,NCI,
12,12p12.2,,UCSC
12,12p12.3,NCI,UCSC
12,12p13,NCI,
12,12p13-p12,NCI,
12,12p13-p12.3,NCI,
12,12p13.1,,UCSC
12,12p13.1-p12,NCI,
12,12p13.1-p12.3,NCI,
12,12p13.11,NCI,
12,12p13.2,NCI,UCSC
12,12p13.2-p12.3,NCI,
12,12p13.3,NCI,
12,12p13.31,NCI,UCSC
12,12p13.32,NCI,UCSC
12,12p13.33,,UCSC
12,12pter-p12,NCI,
12,12q11,,UCSC
12,12q11-q13,NCI,
12,12q11-q14,NCI,
12,12q12,NCI,UCSC
12,12q12-12q14,NCI,
12,12q12-q13,NCI,
12,12q12-q14,NCI,
12,12q13,NCI,
12,12q13-q14,NCI,
12,12q13-q15,NCI,
12,12q13.1,NCI,
12,12q13.1-q13.3,NCI,
12,12q13.11,,UCSC
12,12q13.12,,UCSC
12,12q13.13,NCI,UCSC
12,12q13.2,,UCSC
12,12q13.2-q13.3,NCI,
12,12q13.3,NCI,UCSC
12,12q14,NCI,
12,12q14-q15,NCI,
12,12q14.1,NCI,UCSC
12,12q14.2,,UCSC
12,12q14.3,NCI,UCSC
12,12q14.3-q15,NCI,
12,12q15,NCI,UCSC
12,12q21,NCI,
12,12q21.1,,UCSC
12,12q21.2,,UCSC
12,12q21.31,,UCSC
12,12q21.32,,UCSC
12,12q21.33,,UCSC
12,12q22,NCI,UCSC
12,12q22-q23,NCI,
12,12q23,NCI,
12,12q23-q24,NCI,
12,12q23-q24.1,NCI,
12,12q23.1,NCI,UCSC
12,12q23.2,,UCSC
12,12q23.3,,UCSC
12,12q24,NCI,
12,12q24.1,NCI,
12,12q24.11,NCI,UCSC
12,12q24.12,,UCSC
12,12q24.13,NCI,UCSC
12,12q24.2,NCI,
12,12q24.2-q24.31,NCI,
12,12q24.21,NCI,UCSC
12,12q24.22,,UCSC
12,12q24.23,,UCSC
12,12q24.3,NCI,
12,12q24.31,NCI,UCSC
12,12q24.32,,UCSC
12,12q24.33,,UCSC
13,13p11.1,,UCSC
13,13p11.2,,UCSC
13,13p12,NCI,UCSC
13,13p13,,UCSC
13,13q11,,UCSC
13,13q11-q12,NCI,
13,13q12,NCI,
13,13q12-13,NCI,
13,13q12-q13,NCI,
13,13q12.11,,UCSC
13,13q12.12,,UCSC
13,13q12.13,,UCSC
13,13q12.2,,UCSC
13,13q12.3,NCI,UCSC
13,13q13.1,,UCSC
13,13q13.2,,UCSC
13,13q13.3,NCI,UCSC
13,13q14,NCI,
13,13q14-q21,NCI,
13,13q14.1,NCI,
13,13q14.1-q14.2,NCI,
13,13q14.11,,UCSC
13,13q14.12,,UCSC
13,13q14.12-q14.2,NCI,
13,13q14.13,,UCSC
13,13q14.2,NCI,UCSC
13,13q14.2-q14.3,NCI,
13,13q14.3,NCI,UCSC
13,13q21,NCI,
13,13q21.1,,UCSC
13,13q21.2,,UCSC
13,13q21.31,,UCSC
13,13q21.32,,UCSC
13,13q21.33,,UCSC
13,13q22-q34,NCI,
13,13q22.1,,UCSC
13,13q22.2,,UCSC
13,13q22.3,,UCSC
13,13q31.1,,UCSC
13,13q31.2,,UCSC
13,13q31.3,NCI,UCSC
13,13q32,NCI,
13,13q32.1,,UCSC
13,13q32.2,,UCSC
13,13q32.3,,UCSC
13,13q33,NCI,
13,13q33.1,,UCSC
13,13q33.2,,UCSC
13,13q33.3,,UCSC
13,13q34,NCI,UCSC
14,14p11.1,,UCSC
14,14p11.2,,UCSC
14,14p12,,UCSC
14,14p13,,UCSC
14,14q11,NCI,
14,14q11-q12,NCI,
14,14q11.1,,UCSC
14,14q11.1-q11.2,NCI,
14,14q11.2,NCI,UCSC
14,14q11.2-q12,NCI,
14,14q12,NCI,UCSC
14,14q13,NCI,
14,14q13.1,NCI,UCSC
14,14q13.2,NCI,UCSC
14,14q13.3,NCI,UCSC
14,14q21-q22,NCI,
14,14q21-q24,NCI,
14,14q21.1,,UCSC
14,14q21.2,,UCSC
14,14q21.3,NCI,UCSC
14,14q22,NCI,
14,14q22.1,,UCSC
14,14q22.2,,UCSC
14,14q22.3,,UCSC
14,14q23,NCI,
14,14q23-q24,NCI,
14,14q23-q24.1,NCI,
14,14q23.1,NCI,UCSC
14,14q23.2,,UCSC
14,14q23.3,,UCSC
14,14q24,NCI,
14,14q24-q31,NCI,
14,14q24.1,NCI,UCSC
14,14q24.2,,UCSC
14,14q24.3,NCI,UCSC
14,14q24.3-q31,NCI,
14,14q31,NCI,
14,14q31-q32.1,NCI,
14,14q31.1,NCI,UCSC
14,14q31.2,,UCSC
14,14q31.3,,UCSC
14,14q32,NCI,
14,14q32.1,NCI,
14,14q32.1-q32.2,NCI,
14,14q32.11,,UCSC
14,14q32.12,,UCSC
14,14q32.13,,UCSC
14,14q32.2,NCI,UCSC
14,14q32.3,NCI,
14,14q32.31,NCI,UCSC
14,14q32.32,,UCSC
14,14q32.33,NCI,UCSC
15,15p11.1,,UCSC
15,15p11.2,,UCSC
15,15p12,,UCSC
15,15p13,,UCSC
15,15q11-q13,NCI,
15,15q11.1,,UCSC
15,15q11.2,NCI,UCSC
15,15q11.2-q21.3,NCI,
15,15q12,,UCSC
15,15q13.1,,UCSC
15,15q13.2,,UCSC
15,15q13.3,,UCSC
15,15q14,NCI,UCSC
15,15q15,NCI,
15,15q15-q21.1,NCI,
15,15q15.1,,UCSC
15,15q15.1-q21.1,NCI,
15,15q15.2,NCI,UCSC
15,15q15.3,NCI,UCSC
15,15q21,NCI,
15,15q21-q22,NCI,
15,15q21.1,NCI,UCSC
15,15q21.1-q21.2,NCI,
15,15q21.2,NCI,UCSC
15,15q21.3,,UCSC
15,15q22,NCI,
15,15q22-q24,NCI,
15,15q22-qter,NCI,
15,15q22.1,,UCSC
15,15q22.1-q22.33,NCI,
15,15q22.2,NCI,UCSC
15,15q22.3-q23,NCI,
15,15q22.31,,UCSC
15,15q22.32,,UCSC
15,15q22.33,NCI,UCSC
15,15q23,NCI,UCSC
15,15q23-15q24,NCI,
15,15q23-q24,NCI,
15,15q23-q25,NCI,
15,15q24,NCI,
15,15q24-q25,NCI,
15,15q24.1,,UCSC
15,15q24.2,,UCSC
15,15q24.3,,UCSC
15,15q25,NCI,
15,15q25-q26,NCI,
15,15q25.1,NCI,UCSC
15,15q25.2,,UCSC
15,15q25.3,,UCSC
15,15q26,NCI,
15,15q26.1,NCI,UCSC
15,15q26.2,,UCSC
15,15q26.3,NCI,UCSC
16,16p11,NCI,
16,16p11.1,,UCSC
16,16p11.2,NCI,UCSC
16,16p11.2-12.1,NCI,
16,16p11.2-p11.1,NCI,
16,16p12,NCI,
16,16p12-p11.2,NCI,
16,16p12.1,NCI,UCSC
16,16p12.2,,UCSC
16,16p12.3,NCI,UCSC
16,16p13.1,NCI,
16,16p13.11,,UCSC
16,16p13.12,NCI,UCSC
16,16p13.13,,UCSC
16,16p13.13-p13.12,NCI,
16,16p13.2,,UCSC
16,16p13.3,NCI,UCSC
16,16p13.3-p13.11,NCI,
16,16q11.1,,UCSC
16,16q11.2,,UCSC
16,16q12,NCI,
16,16q12.1,NCI,UCSC
16,16q12.2,NCI,UCSC
16,16q13,NCI,UCSC
16,16q13-q21,NCI,
16,16q2,NCI,
16,16q21,NCI,UCSC
16,16q21-q22.3,NCI,
16,16q22,NCI,
16,16q22-q23,NCI,
16,16q22-q23.1,NCI,
16,16q22.1,NCI,UCSC
16,16q22.2,NCI,UCSC
16,16q22.2-q22.3,NCI,
16,16q22.3,,UCSC
16,16q23,NCI,
16,16q23.1,NCI,UCSC
16,16q23.2,,UCSC
16,16q23.3,,UCSC
16,16q24,NCI,
16,16q24.1,NCI,UCSC
16,16q24.1-q24.2,NCI,
16,16q24.2,,UCSC
16,16q24.2-q24.3,NCI,
16,16q24.3,NCI,UCSC
17,17p11.1,NCI,UCSC
17,17p11.2,NCI,UCSC
17,17p12,NCI,UCSC
17,17p12-17p11.2,NCI,
17,17p12-p11.2,NCI,
17,17p13,NCI,
17,17p13-p12,NCI,
17,17p13.1,NCI,UCSC
17,17p13.1-q25,NCI,
17,17p13.2,NCI,UCSC
17,17p13.3,NCI,UCSC
17,17pter-q21,NCI,
17,17q11,NCI,
17,17q11-q12,NCI,
17,17q11-q21,NCI,
17,17q11-q21.3,NCI,
17,17q11-qter,NCI,
17,17q11.1,NCI,UCSC
17,17q11.2,NCI,UCSC
17,17q11.2-q12,NCI,
17,17q11.2-q21.1,NCI,
17,17q12,NCI,UCSC
17,17q12-q21,NCI,
17,17q12-q21.1,NCI,
17,17q13,NCI,
17,17q21,NCI,
17,17q21-q22,NCI,
17,17q21-q23,NCI,
17,17q21.1,NCI,UCSC
17,17q21.1-q21.2,NCI,
17,17q21.1-q21.3,NCI,
17,17q21.2,NCI,UCSC
17,17q21.3,NCI,
17,17q21.3-q22.1,NCI,
17,17q21.31,NCI,UCSC
17,17q21.32,NCI,UCSC
17,17q21.33,,UCSC
17,17q22,,UCSC
17,17q22-q23,NCI,
17,17q22-q23.2,NCI,
17,17q22-qter,NCI,
17,17q23,NCI,
17,17q23-q24,NCI,
17,17q23-q25,NCI,
17,17q23.1,NCI,UCSC
17,17q23.2,,UCSC
17,17q23.2-q25.3,NCI,
17,17q23.3,,UCSC
17,17q24,NCI,
17,17q24-q25,NCI,
17,17q24.1,,UCSC
17,17q24.2,NCI,UCSC
17,17q24.3,NCI,UCSC
17,17q24.3-q25.1,NCI,
17,17q25,NCI,
17,17q25.1,NCI,UCSC
17,17q25.2,,UCSC
17,17q25.2-q25.3,NCI,
17,17q25.3,NCI,UCSC
18,18p11.1,,UCSC
18,18p11.21,,UCSC
18,18p11.22,,UCSC
18,18p11.23,,UCSC
18,18p11.3,NCI,
18,18p11.31,,UCSC
18,18p11.31-p11.21,NCI,
18,18p11.32,NCI,UCSC
18,18q11.1,NCI,UCSC
18,18q11.2,NCI,UCSC
18,18q12-q21,NCI,
18,18q12.1,,UCSC
18,18q12.2,,UCSC
18,18q12.3,,UCSC
18,18q21.1,NCI,UCSC
18,18q21.1-q21.32,NCI,
18,18q21.2,,UCSC
18,18q21.3,NCI,
18,18q21.31,NCI,UCSC
18,18q21.32,NCI,UCSC
18,18q21.33,,UCSC
18,18q22.1,NCI,UCSC
18,18q22.2,,UCSC
18,18q22.3,,UCSC
18,18q23,,UCSC
19,19p11,,UCSC
19,19p12,,UCSC
19,19p13,NCI,
19,19p13.1,NCI,
19,19p13.1-13.2,NCI,
19,19p13.1-p12,NCI,
19,19p13.1-p13.2,NCI,
19,19p13.11,NCI,UCSC
19,19p13.12,NCI,UCSC
19,19p13.13,,UCSC
19,19p13.2,NCI,UCSC
19,19p13.2-p12,NCI,
19,19p13.2-p13.1,NCI,
19,19p13.3,NCI,UCSC
19,19p13.3-p13.2,NCI,
19,19pter-q12,NCI,
19,19q11,,UCSC
19,19q12,NCI,UCSC
19,19q13,NCI,
19,19q13.1,NCI,
19,19q13.1-q13.2,NCI,
19,19q13.1-qter,NCI,
19,19q13.11,,UCSC
19,19q13.12,,UCSC
19,19q13.13,NCI,UCSC
19,19q13.2,NCI,UCSC
19,19q13.2-q13.3,NCI,
19,19q13.3,NCI,
19,19q13.3-q13.4,NCI,
19,19q13.31,NCI,UCSC
19,19q13.32,NCI,UCSC
19,19q13.33,NCI,UCSC
19,19q13.4,NCI,
19,19q13.41,NCI,UCSC
19,19q13.42,NCI,UCSC
19,19q13.43,,UCSC
1,1p11.1,,UCSC
1,1p11.2,,UCSC
1,1p12,,UCSC
1,1p13,NCI,
1,1p13.1,NCI,UCSC
1,1p13.2,NCI,UCSC
1,1p13.3,NCI,UCSC
1,1p13.3-p13.1,NCI,
1,1p21,NCI,
1,1p21-p13,NCI,
1,1p21-p13.3,NCI,
1,1p21.1,,UCSC
1,1p21.2,,UCSC
1,1p21.3,NCI,UCSC
1,1p22,NCI,
1,1p22-p21,NCI,
1,1p22.1,NCI,UCSC
1,1p22.2,,UCSC
1,1p22.3,,UCSC
1,1p31,NCI,
1,1p31-p22,NCI,
1,1p31.1,NCI,UCSC
1,1p31.2,,UCSC
1,1p31.2-p31.1,NCI,
1,1p31.3,NCI,UCSC
1,1p31.3-p31.2,NCI,
1,1p32,NCI,
1,1p32-p31,NCI,
1,1p32-q12,NCI,
1,1p32.1,,UCSC
1,1p32.2,,UCSC
1,1p32.3,NCI,UCSC
1,1p32.3-p31.3,NCI,
1,1p33,NCI,UCSC
1,1p33-p31,NCI,
1,1p33-p32,NCI,
1,1p33-p34,NCI,
1,1p34,NCI,
1,1p34-p33,NCI,
1,1p34.1,NCI,UCSC
1,1p34.2,,UCSC
1,1p34.3,NCI,UCSC
1,1p34.3-p32.1,NCI,
1,1p35,NCI,
1,1p35-p31.3,NCI,
1,1p35-p32,NCI,
1,1p35-p34.2,NCI,
1,1p35-p34.3,NCI,
1,1p35.1,,UCSC
1,1p35.1-p36.23,NCI,
1,1p35.2,NCI,UCSC
1,1p35.3,NCI,UCSC
1,1p36,NCI,
1,1p36.1,NCI,
1,1p36.1-p35,NCI,
1,1p36.11,NCI,UCSC
1,1p36.12,NCI,UCSC
1,1p36.13,,UCSC
1,1p36.13-p36.11,NCI,
1,1p36.2,NCI,
1,1p36.2-p36.1,NCI,
1,1p36.2-p36.12,NCI,
1,1p36.21,,UCSC
1,1p36.22,,UCSC
1,1p36.23,,UCSC
1,1p36.23-p35.1,NCI,
1,1p36.3,NCI,
1,1p36.3-p36.1,NCI,
1,1p36.3-p36.2,NCI,
1,1p36.31,,UCSC
1,1p36.32,,UCSC
1,1p36.33,NCI,UCSC
1,1pter-p22.1,NCI,
1,1q11,,UCSC
1,1q12,,UCSC
1,1q12-q23,NCI,
1,1q21,NCI,
1,1q21-q22,NCI,
1,1q21-q23,NCI,
1,1q21.1,,UCSC
1,1q21.2,,UCSC
1,1q21.3,NCI,UCSC
1,1q22,NCI,UCSC
1,1q22-q23,NCI,
1,1q22-q24,NCI,
1,1q22-q25,NCI,
1,1q23,NCI,
1,1q23-q25,NCI,
1,1q23-q31,NCI,
1,1q23.1,,UCSC
1,1q23.2,NCI,UCSC
1,1q23.3,NCI,UCSC
1,1q24-q25,NCI,
1,1q24.1,,UCSC
1,1q24.2,NCI,UCSC
1,1q24.3,NCI,UCSC
1,1q25,NCI,
1,1q25-q31.1,NCI,
1,1q25.1,,UCSC
1,1q25.2,NCI,UCSC
1,1q25.2-q25.3,NCI,
1,1q25.3,,UCSC
1,1q31,NCI,
1,1q31-q32,NCI,
1,1q31.1,,UCSC
1,1q31.2,,UCSC
1,1q31.3,NCI,UCSC
1,1q32,NCI,
1,1q32-q41,NCI,
1,1q32.1,NCI,UCSC
1,1q32.2,NCI,UCSC
1,1q32.3,,UCSC
1,1q41,NCI,UCSC
1,1q41-q42,NCI,
1,1q41-q44,NCI,
1,1q42,NCI,
1,1q42-q43,NCI,
1,1q42.1,NCI,
1,1q42.1-q42.2,NCI,
1,1q42.1-q43,NCI,
1,1q42.11,,UCSC
1,1q42.12,,UCSC
1,1q42.13,,UCSC
1,1q42.2,,UCSC
1,1q42.3,,UCSC
1,1q43,NCI,UCSC
1,1q43-q44,NCI,
1,1q44,NCI,UCSC
20,20p11,NCI,
20,20p11.1,,UCSC
20,20p11.2,NCI,
20,20p11.21,,UCSC
20,20p11.22,,UCSC
20,20p11.23,,UCSC
20,20p12,NCI,
20,20p12.1,,UCSC
20,20p12.2,,UCSC
20,20p12.3,,UCSC
20,20p13,NCI,UCSC
20,20pter-p12,NCI,
20,20pter-q12,NCI,
20,20q11,NCI,
20,20q11-q12,NCI,
20,20q11.1,NCI,UCSC
20,20q11.1-11.23,NCI,
20,20q11.2,NCI,
20,20q11.2-q13.1,NCI,
20,20q11.21,,UCSC
20,20q11.22,NCI,UCSC
20,20q11.23,,UCSC
20,20q12,NCI,UCSC
20,20q12-q13,NCI,
20,20q12-q13.1,NCI,
20,20q12-q13.11,NCI,
20,20q12-q13.12,NCI,
20,20q12-q13.2,NCI,
20,20q13,NCI,
20,20q13.1,NCI,
20,20q13.1-q13.2,NCI,
20,20q13.11,,UCSC
20,20q13.12,,UCSC
20,20q13.13,NCI,UCSC
20,20q13.2,NCI,UCSC
20,20q13.2-q13.3,NCI,
20,20q13.3,NCI,
20,20q13.31,,UCSC
20,20q13.32,NCI,UCSC
20,20q13.33,NCI,UCSC
21,21p11.1,,UCSC
21,21p11.2,,UCSC
21,21p12,,UCSC
21,21p13,,UCSC
21,21q11.1,,UCSC
21,21q11.2,NCI,UCSC
